"code", "playlistname"
48291120, 0918/가을에 듣기좋은 노래
48285948, 0917/메이크어스&amp;이담 소속가수 노래
48282315, 0916/C9&amp;메이저9 소속가수 노래
48277953, 0915/피네이션 소속가수 노래
48273739, 0914/KQ&amp;KOZ 소속가수 노래
48268737, EDAM 소속가수 노래
48268552, 0913/WM엔터 &amp; RBW 엔터 소속가수 노래
48260776, 0912-1
48258852, 0911/신청곡라디오:당신의 띵곡은?
48254500, 0910/해피로봇레코드 소속가수 노래
48248876, 0909/매직스트로베리사운드 소속 가수노래
48243590, 0908/큐브 소속 가수 노래
48239035, 0907/스톤뮤직 소속 가수 노래
48235371, 0906/AOMG 소속 가수 노래
48068642, 0906-1
48224440, 0904/쇼파르뮤직 소속 가수 노래
48238251, WM 소속 가수 노래
48210689, 0902/안테나뮤직 소속 가수 노래
48210991, 0901/빅히트 소속 가수 노래
48206337, 0831/스타쉽 소속 가수 노래
48201295, 0830/JYP 소속 가수 노래
47943257, 0829-1
48182468, 0827/YG 소속 가수 노래
48178814, 0826/SM 소속 가수 노래
47918842, 0825/어닝취향걸그룹
48016186, 0824/월요병 극복
48169980, 0823/귀에멤도는 노래
48008391, 0823-1
48155710, 0820/믹싱해볼 노래 후보들
47579059, 어닝 취향 팝송
48150633, 0819/그때그시절 아이돌노래
48146033, 0818/어닝취향 랩,힙합
48142084, 0817/여름밤 듣기좋은 노래
48137802, 0816/2주년기념방송
47301049, 0815-1
46819123, 0814/마마무 플리
48124539, 0813/한강에서 듣기좋은 노래
48120538, 0812/드라이브용 팝송
48115561, 0811/놀러갈때 듣기좋은 노래
48111156, 0810/멜론차트
47977640, 0808/카페 갬성
48089406, 0805/아이유플리
47803078, 0804/음식이 들어간 노래
47898915, 0803/카페에서듣기좋은팝송
48074828, 0802/비오는날 듣기좋은 노래
48061969, 0730/드라마ost
48061790, 드라마ost
47922991, 0729/어닝취향보이그룹
47688891, 0726/청량미 넘치는 노래
47376284, 0725-1
48025304, 어닝's 싸이갬성
47870379, 0721/여름밤듣기좋은 노래
48010525, 0719/크루 합격자발표
47992568, 0716/직장인들을 위한 노래
47992604, 0715/700일기념전데
47988453, 0714/씨티팝
47978581, 0712/비오는날 듣는 노래
47840691, 0710/청량미넘치는 플리_크루홍방
47959333, 어닝취향팝송
47958971, 크리스토퍼
47955126, 0707/영화ost
47678363, 0706/휴가가고싶어지는노래
47932103, 0702/어닝취향 여름팝송
47927415, 0701/어닝취향노동요
